Laptop,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg)
244,3,15.6,3,1,46,2.5,4,10,2,52,5,2.2
195,3,15.6,3,1,46,2.5,8,10,0,91,5,2.2
206,0,15.6,3,1,53,1.6,8,16,2,105,5,2.7
168,0,13.3,3,1,70,1.8,8,34,2,105,5,1.1
403,3,15.6,3,1,46,2.5,4,10,2,52,4,2.2
359,3,17.3,3,1,70,1.8,8,10,3,9,5,2.5
502,3,15.6,3,1,70,1.8,8,16,2,105,5,2.0
57,4,13.3,10,1,40,2.9,8,29,2,55,8,1.4
124,1,17.3,3,0,89,3.0,16,18,0,104,5,3.2
196,3,15.6,3,1,70,1.8,8,16,0,73,2,2.1
453,0,14.0,9,1,57,2.6,16,29,2,46,5,1.4
596,3,15.6,0,1,55,2.5,8,26,3,8,5,2.2
201,3,15.6,0,1,62,2.7,12,10,2,52,5,2.3
208,3,17.3,3,1,70,1.8,8,5,0,74,2,2.8
7,3,15.6,3,1,70,1.8,8,10,3,36,5,2.2
407,3,17.3,2,1,36,2.0,4,10,2,46,5,2.8
406,3,17.3,3,1,70,1.8,8,22,3,37,4,2.8
405,3,17.3,2,1,62,2.7,6,5,3,11,5,2.8
195,3,15.6,3,1,36,2.0,4,10,0,91,2,2.2
429,1,15.6,3,1,47,2.5,8,16,3,14,5,2.5
423,3,15.6,3,1,46,2.5,6,16,2,52,5,2.2
11,3,15.6,3,1,70,1.8,8,16,3,37,5,3.0
42,3,15.6,3,1,62,2.7,12,10,2,52,5,2.2
471,3,15.6,3,1,62,2.7,8,16,2,53,5,2.0
138,4,15.6,3,1,46,2.5,8,16,3,11,5,1.7
429,1,15.6,3,1,66,2.8,16,18,3,15,5,2.5
402,3,15.6,3,1,62,2.7,8,10,3,11,4,2.2
32,3,15.6,0,1,18,1.5,2,8,2,39,1,2.2
74,1,17.3,3,1,66,2.8,8,10,3,14,5,3.0
294,3,17.3,2,1,36,2.0,8,10,2,46,5,2.5
250,3,15.6,3,1,66,2.8,8,16,3,14,5,2.0
501,3,15.6,3,1,53,1.6,8,16,2,105,5,2.0
430,1,15.6,3,1,66,2.8,8,10,3,18,5,3.2
12,3,15.6,3,1,66,2.8,8,16,3,15,2,2.5
241,5,17.3,3,1,68,2.9,16,16,3,62,5,3.4
395,3,15.6,3,0,0,2.4,6,10,0,85,5,2.4
178,4,15.6,3,1,62,2.7,16,29,3,11,5,1.6
137,3,14.0,0,1,38,2.4,4,4,2,52,5,1.3
118,1,17.3,3,1,66,2.8,16,18,3,19,5,2.9
405,3,17.3,2,1,46,2.5,6,10,3,23,5,2.8
403,3,15.6,0,1,46,2.5,8,22,3,11,4,2.2
81,1,15.6,3,1,66,2.8,8,5,3,15,5,2.5
401,3,15.6,0,1,87,1.1,4,10,2,43,4,2.2
316,0,13.3,3,1,64,2.8,16,16,2,52,5,1.3
596,3,15.6,3,1,55,2.5,8,16,3,8,5,2.2
402,3,15.6,3,1,46,2.5,8,5,3,11,5,2.3
304,3,15.6,3,1,36,2.0,4,10,2,46,5,1.9
415,3,13.3,3,1,46,2.5,8,16,2,52,5,1.1
249,4,13.3,14,1,70,1.8,16,12,2,105,5,1.2
521,1,15.6,3,1,66,2.8,16,18,3,19,5,2.8
35,3,15.6,3,0,9,2.2,8,16,0,84,5,2.2
133,0,11.6,0,1,22,1.1,2,23,2,42,5,1.1
203,3,15.6,3,1,53,1.6,8,5,0,74,5,2.3
366,0,13.3,14,1,70,1.8,16,12,2,105,5,1.3
434,3,13.3,0,1,19,1.6,4,7,2,44,1,1.4
353,3,14.0,3,1,46,2.5,8,16,2,52,5,2.0
51,3,11.6,0,1,86,1.6,4,2,2,41,5,1.4
319,3,14.0,3,1,62,2.7,8,16,2,52,5,1.5
405,3,17.3,2,1,46,2.5,4,10,3,7,5,2.8
174,3,14.0,3,1,62,2.7,8,16,2,52,5,2.0
351,3,15.6,0,1,70,1.8,8,10,2,105,5,2.1
3,3,15.6,0,0,4,2.7,8,16,0,101,5,2.2
393,3,14.0,0,1,22,1.1,4,23,2,42,5,1.4
14,3,15.6,0,1,46,2.5,6,10,2,52,5,2.2
138,4,15.6,3,1,62,2.7,8,16,3,11,5,1.7
